,dailyconfirmed,dailydeceased,dailyrecovered,date,dateymd,totalconfirmed,totaldeceased,totalrecovered
371,12401,120,15788,4 February 2021,2021-02-04,10803457,154271,10495134
372,11711,95,14512,5 February 2021,2021-02-05,10815168,154366,10509646
373,12069,75,11761,6 February 2021,2021-02-06,10827237,154441,10521407
374,11786,86,11756,7 February 2021,2021-02-07,10839023,154527,10533163
375,8715,78,13600,8 February 2021,2021-02-08,10847738,154605,10546763
376,10731,94,12928,9 February 2021,2021-02-09,10858469,154699,10559691
377,12539,110,11796,10 February 2021,2021-02-10,10871008,154809,10571487
378,9353,85,15722,11 February 2021,2021-02-11,10880361,154894,10587209
379,12137,104,11358,12 February 2021,2021-02-12,10892498,154998,10598567
380,12198,89,11107,13 February 2021,2021-02-13,10904696,155087,10609674
381,11706,91,9500,14 February 2021,2021-02-14,10916402,155178,10619174
382,9086,82,11793,15 February 2021,2021-02-15,10925488,155260,10630967
383,11592,99,11836,16 February 2021,2021-02-16,10937080,155359,10642803
384,12862,100,12028,17 February 2021,2021-02-17,10949942,155459,10654831
385,13237,100,10914,18 February 2021,2021-02-18,10963179,155559,10665745
386,13916,100,10214,19 February 2021,2021-02-19,10977095,155659,10675959
387,13919,89,11413,20 February 2021,2021-02-20,10991014,155748,10687372
388,14278,83,9715,21 February 2021,2021-02-21,11005292,155831,10697087
389,10494,76,13233,22 February 2021,2021-02-22,11015786,155907,10710320
390,13682,103,13969,23 February 2021,2021-02-23,11029468,156010,10724289
391,16930,141,12100,24 February 2021,2021-02-24,11046398,156151,10736389
392,16599,119,12222,25 February 2021,2021-02-25,11062997,156270,10748611
393,16562,114,12790,26 February 2021,2021-02-26,11079559,156384,10761401
394,16805,111,11709,27 February 2021,2021-02-27,11096364,156495,10773110
395,15614,108,11291,28 February 2021,2021-02-28,11111978,156603,10784401
396,12270,92,12472,1 March 2021,2021-03-01,11124248,156695,10796873
397,14998,98,13113,2 March 2021,2021-03-02,11139246,156793,10809986
398,17425,87,14071,3 March 2021,2021-03-03,11156671,156880,10824057
399,16824,113,13788,4 March 2021,2021-03-04,11173495,156993,10837845
400,18324,109,14186,5 March 2021,2021-03-05,11191819,157102,10852031
401,18724,100,14379,6 March 2021,2021-03-06,11210543,157202,10866410
402,18650,97,14303,7 March 2021,2021-03-07,11229193,157299,10880713
403,15353,76,16606,8 March 2021,2021-03-08,11244546,157375,10897319
404,17873,133,20643,9 March 2021,2021-03-09,11262419,157508,10917962
405,22851,125,18154,10 March 2021,2021-03-10,11285270,157633,10936116
406,23298,119,15092,11 March 2021,2021-03-11,11308568,157752,10951208
407,24845,140,19972,12 March 2021,2021-03-12,11333413,157892,10971180
408,25154,159,16508,13 March 2021,2021-03-13,11358567,158051,10987688
409,26513,120,17590,14 March 2021,2021-03-14,11385080,158171,11005278
410,24437,130,20186,15 March 2021,2021-03-15,11409517,158301,11025464
411,28869,187,17746,16 March 2021,2021-03-16,11438386,158488,11043210
